기업명,설립연차_지울거,기업규모,설립연도,업종,본사_주소,최저_연봉,최고_연봉,평균_연봉,년도,
(주)씨어스테크놀로지,업력 17년차,중소기업,2009년 8월 11일 설립,그 외 기타 의료용 기기 제조업,경기 평택시 진위면 동부대로 291-13,"3,664만원","7,598만원","6,598만원",2009년,
(주)엠오브에스,업력 4년차,중소기업,2022년 7월 1일 설립,전기ㆍ전자공학 연구개발업,"서울 동작구 상도로 369, 창신관 211호 (상도동,숭실대학교)","2,914만원","6,436만원","4,869만원",2022년,
(주)메쥬,업력 8년차,중소기업,2018년 4월 26일 설립,전기식 진단 및 요법 기기 제조업,"강원 원주시 지정면 기업도시로 200, 808호 (가곡리,의료기기종합지원센터)","3,186만원","7,088만원","5,588만원",2018년,
(주)티라유텍,업력 20년차,중소기업,2006년 8월 25일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 학동로5길 7, 4층","3,269만원","7,443만원","5,996만원",2006년,
111퍼센트(주),,중소기업,2015년 10월 13일 설립,모바일 게임 소프트웨어 개발 및 공급업,서울 강남구,"3,727만원","8,127만원","6,750만원",2015년,
이디코어,업력 10년차,중소기업,2016년 7월 15일 설립,응용 소프트웨어 개발 및 공급업,"경기 평택시 정암로 42, 206호 (이충동,서정스마트빌듀오1차)",,,,2016년,
(주)와이즈스톤,,중소기업,2007년 6월 20일 설립,응용 소프트웨어 개발 및 공급업,경기 과천시,"3,044만원","6,834만원","5,340만원",2007년,
씨맥스주식회사,,중소기업,2002년 4월 23일 설립,기타 목재가구 제조업,경기 시흥시,,,,2002년,
슈퍼센트(주),,중소기업,2021년 3월 29일 설립,모바일 게임 소프트웨어 개발 및 공급업,서울 송파구,"3,142만원","7,070만원","5,509만원",2021년,
투브컴주식회사,,중소기업,2024년12월30일,네트워크·통신·모바일,서울 서초구 사평대로18길 5 위너빌딩,,,,2024년,
(주)크레스콤,,중소기업,2017년 1월 5일 설립,그 외 기타 정보 서비스업,경기 성남시 분당구,,,,2017년,
(주)브이씨,업력 21년차,중소기업,2005년 3월 29일 설립,기타 운동 및 경기용구 제조업,서울 강남구,"3,138만원","6,844만원","5,437만원",2005년,
(주)휴먼아이티에스,,중소기업,2002년 3월 22일 설립,전기용 기계장비 및 관련 기자재 도매업,부산 기장군,"3,053만원","6,828만원","5,229만원",2002년,
언더독스(주),업력 11년차,중소기업,2015년 4월 14일 설립,경영 컨설팅업,"서울 종로구 돈화문로 88-1, 2층",,,,2015년,
(주)코어스택,,중소기업,2022년 8월 9일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,세종시 조치원  ,,,,2022년,
엔시큐어(주),,중소기업,2008년 12월 15일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 용산구,"3,119만원","7,546만원","5,434만원",2008년,
(주)세이코어,업력 3년차,중소기업,2023년 6월 13일 설립,시스템 소프트웨어 개발 및 공급업,"서울 구로구 디지털로26길 43, 알1615호, 알1616호 (구로동,대륭포스트타워8차)","2,771만원","6,604만원","4,416만원",2023년,
(주)디옵트기획,업력 8년차,중소기업,2018년 6월 20일 설립,광고 대행업,"서울 강남구 도산대로96길 15, 2층 (청담동,파크힐빌딩)",,,,2018년,
위즈코어(주),업력 16년차,중소기업,2010년 2월 23일 설립,응용 소프트웨어 개발 및 공급업,"서울 성동구 아차산로17길 49, 1505호-1508호 (성수동2가,생각공장데시앙플렉스)","3,464만원","7,979만원","6,902만원",2010년,
(주)한국픽셀,업력 10년차,중소기업,2016년 9월 27일 설립,내부 통신배선 공사업,"경기 광명시 광명역로 26, 1동 1212호 (일직동,광명역파크자이)","2,494만원","5,374만원","3,659만원",2016년,
kaimen,업력 8년차,중소기업,2018년 2월 5일 설립,웹에이젼시,서울 강남구 역삼로65길 15,,,,2018년,
(주)이엠솔루션,업력 5년차,중소기업,2021년 12월 23일 설립,응용 소프트웨어 개발 및 공급업,"경남 창원시 의창구 평산로 33, 16층 1617, 1618, 1619호 (팔용동,신화더플렉스시티)","2,793만원","6,340만원","4,412만원",2021년,
(주)케이엠에스테크놀로지,,중소기업,2015년 6월 19일 설립,"소프트웨어 개발,공급,자문,도소매","서울 강남구 언주로 337, 6층 (역삼동,동영문화센터)","3,429만원","7,724만원","6,484만원",2015년,
