기업명,최저_연봉,최고_연봉,평균_연봉
(주)싸이드워크엔터테인먼트,"2,894만원","6,524만원","4,699만원"
(주)아이리스브라이트,"2,550만원","5,486만원","3,797만원"
(주)큐버스랩,"3,147만원","7,138만원","5,604만원"
주식회사 리앤로,"3,177만원","6,693만원","5,545만원"
(주)미리디,"3,011만원","7,100만원","5,326만원"
(주)티클,"2,845만원","6,262만원","4,345만원"
(주)위즈코리아,"3,041만원","7,029만원","5,348만원"
(주)모바휠,"3,432만원","7,549만원","6,282만원"
(주)크라우드웍스,"2,971만원","6,831만원","5,073만원"
(주)코빗,"4,419만원","9,997만원","8,405만원"
정유니브(주),"2,590만원","6,169만원","3,942만원"
(주)디비스쿨,"3,032만원","6,071만원","4,647만원"
(주)카르노플릿,"4,664만원","8,878만원","8,354만원"
(주)비솔,"3,450만원","7,457만원","6,253만원"
(주)플랜티넷,"3,138만원","7,330만원","5,495만원"
(주)콜로세움코퍼레이션,"3,147만원","6,545만원","5,486만원"
울랄라랩(주),"3,120만원","7,199만원","5,421만원"
(주)엠지스,"2,664만원","5,620만원","3,613만원"
(주)와탭랩스,"3,833만원","8,849만원","7,772만원"
아이헤이트플라잉버그스(주),"2,861만원","5,512만원","4,243만원"
(주)오래,"2,892만원","6,720만원","4,676만원"
(주)어뮤즈랩,"3,218만원","7,277만원","5,819만원"
(주)데카사이트,"3,006만원","5,802만원","4,378만원"
이씨이십일알앤씨(주),"2,824만원","6,153만원","4,342만원"
(주)인터엑스,"3,283만원","7,466만원","6,040만원"
(주)메타스타,"3,850만원","8,377만원","7,040만원"
(주)카펜스트리트,"3,421만원","7,798만원","6,459만원"
슈퍼무브(주),"3,185만원","6,737만원","5,359만원"
이에이트(주),"2,657만원","6,012만원","3,971만원"
(주)위키옵틱스,"3,018만원","6,374만원","5,076만원"
마린웍스(주),"3,023만원","6,620만원","5,111만원"
(주)캠터,"2,340만원","4,579만원","3,117만원"
세종경영자문(주),"2,331만원","5,188만원","3,263만원"
(주)애드,"2,910만원","6,300만원","4,864만원"
(주)유라클,"3,333만원","7,721만원","5,816만원"
(주)웅진컴퍼스,"3,447만원","7,037만원","6,083만원"
엔에이치엔케이씨피,"3,624만원","8,462만원","6,942만원"
(주)우리윈,"3,246만원","6,897만원","5,679만원"
(주)라이브워크,"2,555만원","5,468만원","3,464만원"
에이스아메리칸화재해상보험(주),"4,103만원","9,347만원","7,869만원"
(주)테크에이스지엑스,"3,517만원","7,929만원","6,759만원"
디플래닉스(주),"4,473만원","10,287만원","8,427만원"
(주)노아시스템즈,"4,940만원","9,594만원","9,078만원"
(주)엠젠솔루션,"2,877만원","6,307만원","4,648만원"
(주)에이아이썸,"3,349만원","7,647만원","6,384만원"
인티맥스(주),"3,784만원","8,249만원","7,021만원"
전체와부분(주),"3,326만원","6,575만원","5,538만원"
(주)파킹고,"3,068만원","6,920만원","5,274만원"
(주)리버스마운틴,"2,568만원","5,418만원","3,373만원"
(주)지에스티,"2,832만원","6,426만원","4,569만원"
(주)시즐,"3,617만원","8,032만원","6,890만원"
(주)에임메드,"2,997만원","6,361만원","5,133만원"
(주)알티올,"3,482만원","8,158만원","6,977만원"
(주)스카이앤드,"2,836만원","6,116만원","4,304만원"
(주)비지트,"3,069만원","6,922만원","5,277만원"
(주)크로프트,"2,942만원","5,465만원","4,251만원"
